,Class,plate_length,plate_width,plate_depth,screw_length,screw_dia,screw_distance
274,1,180,20,5,40,3,10
275,1,180,20,5,40,3,20
276,1,180,20,5,40,5,10
277,1,180,20,5,40,5,20
278,1,180,20,5,40,7,10
279,1,180,20,5,40,7,20
280,1,180,20,5,60,1,10
281,1,180,20,5,60,1,20
282,1,180,20,5,60,3,10
283,1,180,20,5,60,3,20
284,1,180,20,5,60,5,10
285,1,180,20,5,60,5,20
286,2,180,20,5,60,7,10
287,2,180,20,5,60,7,20
288,1,220,10,3,20,1,10
289,1,220,10,3,20,1,20
290,1,220,10,3,20,3,10
291,1,220,10,3,20,3,20
292,1,220,10,3,20,5,10
293,1,220,10,3,20,5,20
294,1,220,10,3,20,7,10
295,1,220,10,3,20,7,20
296,1,220,10,3,40,1,10
297,1,220,10,3,40,1,20
298,1,220,10,3,40,3,10
299,1,220,10,3,40,3,20
300,2,220,10,3,40,5,10
301,1,220,10,3,40,5,20
302,2,220,10,3,40,7,10
303,1,220,10,3,40,7,20
304,2,220,10,3,60,1,10
305,1,220,10,3,60,1,20
306,2,220,10,3,60,3,10
307,1,220,10,3,60,3,20
308,2,220,10,3,60,5,10
309,2,220,10,3,60,5,20
310,2,220,10,3,60,7,10
311,2,220,10,3,60,7,20
312,1,220,10,5,20,1,10
313,1,220,10,5,20,1,20
314,1,220,10,5,20,3,10
315,1,220,10,5,20,3,20
316,1,220,10,5,20,5,10
317,1,220,10,5,20,5,20
318,1,220,10,5,20,7,10
319,1,220,10,5,20,7,20
320,1,220,10,5,40,1,10
321,1,220,10,5,40,1,20
322,1,220,10,5,40,3,10
323,1,220,10,5,40,3,20
324,1,220,10,5,40,5,10
325,1,220,10,5,40,5,20
326,2,220,10,5,40,7,10
327,1,220,10,5,40,7,20
328,2,220,10,5,60,1,10
329,1,220,10,5,60,1,20
330,2,220,10,5,60,3,10
331,1,220,10,5,60,3,20
332,2,220,10,5,60,5,10
333,1,220,10,5,60,5,20
334,2,220,10,5,60,7,10
335,2,220,10,5,60,7,20
336,1,220,20,3,20,1,10
337,1,220,20,3,20,1,20
338,1,220,20,3,20,3,10
339,1,220,20,3,20,3,20
340,1,220,20,3,20,5,10
341,1,220,20,3,20,5,20
342,1,220,20,3,20,7,10
343,1,220,20,3,20,7,20
344,1,220,20,3,40,1,10
345,1,220,20,3,40,1,20
346,1,220,20,3,40,3,10
347,1,220,20,3,40,3,20
348,1,220,20,3,40,5,10
349,1,220,20,3,40,5,20
350,2,220,20,3,40,7,10
351,1,220,20,3,40,7,20
352,1,220,20,3,60,1,10
353,1,220,20,3,60,1,20
